id,station,line_number,line_name,dt,passenger_cnt
29,Ховрино,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,17337.0
30,Фрунзенская,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,8103.0
31,Фонвизинская,14.0,КАЛИНИНСКАЯ,03.04.2024,4661.0
32,Фонвизинская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,13709.0
33,Фили,13.0,ФИЛЁВСКАЯ,03.04.2024,1764.0
34,Филёвский парк,13.0,ФИЛЁВСКАЯ,03.04.2024,9563.0
35,Филатов луг,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,8488.0
36,Физтех,18.0,ЛЮБЛИНСКАЯ,03.04.2024,1476.0
37,Университет,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,1015.0
38,Улица Скобелевская,1500.0,БУТОВСКАЯ ЛИНИЯ,03.04.2024,6404.0
39,Улица Дмитриевского,1779.0,НЕКРАСОВСКАЯ,03.04.2024,1831.0
40,Улица Горчакова,1500.0,БУТОВСКАЯ ЛИНИЯ,03.04.2024,13902.0
41,Улица Академика Янгеля,17.0,Серпуховско-Тимирязевская,03.04.2024,3020.0
42,Улица 1905 года,16.0,Таганско-краснопресненская,03.04.2024,1336.0
43,Угрешская,1698.0,Московское центральное кольцо,03.04.2024,16405.0
44,Тушинская,16.0,Таганско-краснопресненская,03.04.2024,5230.0
45,Тургеневская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,13522.0
46,Тульская,17.0,Серпуховско-Тимирязевская,03.04.2024,6350.0
47,Трубная,18.0,ЛЮБЛИНСКАЯ,03.04.2024,2190.0
48,Тропарёво,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,12122.0
49,Третьяковская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,16219.0
50,Третьяковская,14.0,КАЛИНИНСКАЯ,03.04.2024,14617.0
51,ТПУ Рязанская,1779.0,НЕКРАСОВСКАЯ,03.04.2024,1508.0
52,Тимирязевская,17.0,Серпуховско-Тимирязевская,03.04.2024,9808.0
53,Технопарк,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,14466.0
54,Терехово,1749.0,Большая кольцевая линия,03.04.2024,8675.0
55,Тёплый стан,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,2596.0
56,Текстильщики,1749.0,Большая кольцевая линия,03.04.2024,18055.0
57,Текстильщики,16.0,Таганско-краснопресненская,03.04.2024,12552.0
58,Театральная,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,19141.0
59,Тверская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,4589.0
60,Таганская,609.0,КОЛЬЦЕВАЯ,03.04.2024,16347.0
61,Таганская,16.0,Таганско-краснопресненская,03.04.2024,9233.0
62,Сходненская,16.0,Таганско-краснопресненская,03.04.2024,12522.0
63,Сухаревская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,10993.0
64,Студенческая,13.0,ФИЛЁВСКАЯ,03.04.2024,16636.0
65,Строгино,12.0,Арбатско-Покровская,03.04.2024,12732.0
66,Стрешнево,1698.0,Московское центральное кольцо,03.04.2024,15168.0
67,Стенд,609.0,КОЛЬЦЕВАЯ,03.04.2024,5690.0
68,Стахановская,1779.0,НЕКРАСОВСКАЯ,03.04.2024,5965.0
69,Старокачаловская,1500.0,БУТОВСКАЯ ЛИНИЯ,03.04.2024,11675.0
70,Сретенский Бульвар,18.0,ЛЮБЛИНСКАЯ,03.04.2024,12559.0
71,Спортивная,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,10651.0
72,Спартак,16.0,Таганско-краснопресненская,03.04.2024,7501.0
73,Солнцево,1691.0,Солнцевская,03.04.2024,17441.0
74,Сокольники,1749.0,Большая кольцевая линия,03.04.2024,17577.0
75,Сокольники,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,18651.0
76,Соколиная Гора,1698.0,Московское центральное кольцо,03.04.2024,13047.0
77,Сокол,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,4792.0
78,Смоленская,12.0,Арбатско-Покровская,03.04.2024,12919.0
79,Смоленская,13.0,ФИЛЁВСКАЯ,03.04.2024,4471.0
80,Славянский бульвар,12.0,Арбатско-Покровская,03.04.2024,13914.0
81,Серпуховская,17.0,Серпуховско-Тимирязевская,03.04.2024,8130.0
82,Семёновская,12.0,Арбатско-Покровская,03.04.2024,2544.0
83,Селигерская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,2451.0
84,Севастопольская,17.0,Серпуховско-Тимирязевская,03.04.2024,19647.0
85,Свиблово,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,14790.0
86,Саларьево,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,2234.0
87,Савёловская,1749.0,Большая кольцевая линия,03.04.2024,16180.0
88,Савёловская,17.0,Серпуховско-Тимирязевская,03.04.2024,12715.0
89,Рязанский Проспект,16.0,Таганско-краснопресненская,03.04.2024,4897.0
90,Румянцево,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,18642.0
91,Ростокино,1698.0,Московское центральное кольцо,03.04.2024,16739.0
92,Римская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,6743.0
93,Рижская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,3015.0
94,Рижская,1749.0,Большая кольцевая линия,03.04.2024,7658.0
95,Речной вокзал,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,11878.0
96,Рассказовка,1691.0,Солнцевская,03.04.2024,10433.0
97,Раменки,14.0,КАЛИНИНСКАЯ,03.04.2024,13995.0
98,Раменки,1691.0,Солнцевская,03.04.2024,3071.0
99,Пятницкое шоссе,12.0,Арбатско-Покровская,03.04.2024,17935.0
100,Пыхтино,1691.0,Солнцевская,03.04.2024,8390.0
101,Пушкинская,16.0,Таганско-краснопресненская,03.04.2024,7983.0
102,Профсоюзная,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,7080.0
103,Проспект Мира,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,15865.0
104,Проспект Мира,609.0,КОЛЬЦЕВАЯ,03.04.2024,19508.0
105,Проспект Вернадского,1749.0,Большая кольцевая линия,03.04.2024,9972.0
106,Проспект Вернадского,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,4512.0
107,Пролетарская,16.0,Таганско-краснопресненская,03.04.2024,5906.0
108,Прокшино,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,10524.0
109,Преображенская площадь,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,14094.0
110,Пражская,17.0,Серпуховско-Тимирязевская,03.04.2024,19731.0
111,Полянка,17.0,Серпуховско-Тимирязевская,03.04.2024,3254.0
112,Полежаевская,16.0,Таганско-краснопресненская,03.04.2024,10389.0
113,Площадь Революции,12.0,Арбатско-Покровская,03.04.2024,1108.0
114,Площадь Ильича,14.0,КАЛИНИНСКАЯ,03.04.2024,12612.0
115,Площадь Гагарина,1698.0,Московское центральное кольцо,03.04.2024,5160.0
116,Планерная,16.0,Таганско-краснопресненская,03.04.2024,4647.0
117,Пионерская,13.0,ФИЛЁВСКАЯ,03.04.2024,16705.0
118,Печатники,1749.0,Большая кольцевая линия,03.04.2024,9718.0
119,Печатники,18.0,ЛЮБЛИНСКАЯ,03.04.2024,10071.0
120,Петровско-Разумовская,17.0,Серпуховско-Тимирязевская,03.04.2024,19700.0
121,Петровско-Разумовская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,4306.0
122,Петровский парк,1691.0,Солнцевская,03.04.2024,12626.0
123,Петровский парк,1749.0,Большая кольцевая линия,03.04.2024,5237.0
124,Перово,14.0,КАЛИНИНСКАЯ,03.04.2024,19395.0
125,Первомайская,12.0,Арбатско-Покровская,03.04.2024,9183.0
126,Партизанская,12.0,Арбатско-Покровская,03.04.2024,1086.0
127,Парк Победы,12.0,Арбатско-Покровская,03.04.2024,12370.0
128,Парк Победы,1691.0,Солнцевская,03.04.2024,6523.0
129,Парк культуры,609.0,КОЛЬЦЕВАЯ,03.04.2024,11079.0
130,Парк культуры,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,9390.0
131,Панфиловская,1698.0,Московское центральное кольцо,03.04.2024,10493.0
132,Павелецкая,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,5118.0
133,Павелецкая,609.0,КОЛЬЦЕВАЯ,03.04.2024,6495.0
134,Охотный ряд,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,19856.0
135,Отрадное,17.0,Серпуховско-Тимирязевская,03.04.2024,14711.0
136,Орехово,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,15135.0
137,Ольховая,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,6183.0
138,Октябрьское поле,16.0,Таганско-краснопресненская,03.04.2024,16740.0
139,Октябрьская,609.0,КОЛЬЦЕВАЯ,03.04.2024,5571.0
140,Октябрьская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,18251.0
141,Окская,1779.0,НЕКРАСОВСКАЯ,03.04.2024,6430.0
142,Окружная,18.0,ЛЮБЛИНСКАЯ,03.04.2024,17329.0
143,Окружная,1698.0,Московское центральное кольцо,03.04.2024,7031.0
144,Озёрная,1691.0,Солнцевская,03.04.2024,17915.0
145,Новые Черёмушки,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,10550.0
146,Новоясеневская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,4978.0
147,Новохохловская,1698.0,Московское центральное кольцо,03.04.2024,11413.0
148,Новослободская,609.0,КОЛЬЦЕВАЯ,03.04.2024,18027.0
149,Новопеределкино,1691.0,Солнцевская,03.04.2024,19273.0
150,Новокузнецкая,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,6163.0
151,Новокосино,14.0,КАЛИНИНСКАЯ,03.04.2024,7559.0
152,Новогиреево,14.0,КАЛИНИНСКАЯ,03.04.2024,3752.0
153,Новаторская,1749.0,Большая кольцевая линия,03.04.2024,3040.0
154,Нижегородская,1698.0,Московское центральное кольцо,03.04.2024,12855.0
155,Нижегородская,1749.0,Большая кольцевая линия,03.04.2024,3362.0
156,Нижегородская,1779.0,НЕКРАСОВСКАЯ,03.04.2024,16779.0
157,Некрасовка,1779.0,НЕКРАСОВСКАЯ,03.04.2024,1134.0
158,Нахимовский Проспект,17.0,Серпуховско-Тимирязевская,03.04.2024,6849.0
159,Народное Ополчение,1749.0,Большая кольцевая линия,03.04.2024,13514.0
160,Нагорная,17.0,Серпуховско-Тимирязевская,03.04.2024,4114.0
161,Нагатинский затон,1749.0,Большая кольцевая линия,03.04.2024,7478.0
162,Нагатинская,17.0,Серпуховско-Тимирязевская,03.04.2024,12361.0
163,Мякинино,12.0,Арбатско-Покровская,03.04.2024,9558.0
164,Москва-Сити,1698.0,Московское центральное кольцо,03.04.2024,11494.0
165,Молодёжная,12.0,Арбатско-Покровская,03.04.2024,18991.0
166,Мнёвники,1749.0,Большая кольцевая линия,03.04.2024,10905.0
167,Мичуринский проспект,1749.0,Большая кольцевая линия,03.04.2024,10055.0
168,Мичуринский проспект,1691.0,Солнцевская,03.04.2024,15198.0
169,Митино,12.0,Арбатско-Покровская,03.04.2024,17082.0
170,Минская,14.0,КАЛИНИНСКАЯ,03.04.2024,9539.0
171,Минская,1691.0,Солнцевская,03.04.2024,18069.0
172,Менделеевская,17.0,Серпуховско-Тимирязевская,03.04.2024,12900.0
173,Медведково,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,15115.0
174,Маяковская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,10517.0
175,Марьино,18.0,ЛЮБЛИНСКАЯ,03.04.2024,14730.0
176,Марьина Роща,1749.0,Большая кольцевая линия,03.04.2024,6316.0
177,Марьина Роща,18.0,ЛЮБЛИНСКАЯ,03.04.2024,2308.0
178,Марксистская,14.0,КАЛИНИНСКАЯ,03.04.2024,3127.0
179,Люблино,18.0,ЛЮБЛИНСКАЯ,03.04.2024,5769.0
180,Лухмановская,1779.0,НЕКРАСОВСКАЯ,03.04.2024,18603.0
181,Лужники,1698.0,Московское центральное кольцо,03.04.2024,17937.0
182,Лубянка,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,8554.0
183,Ломоносовский проспект,14.0,КАЛИНИНСКАЯ,03.04.2024,13978.0
184,Ломоносовский проспект,1691.0,Солнцевская,03.04.2024,7183.0
185,Локомотив,1698.0,Московское центральное кольцо,03.04.2024,8397.0
186,Лихоборы,1698.0,Московское центральное кольцо,03.04.2024,16276.0
187,Лианозово,18.0,ЛЮБЛИНСКАЯ,03.04.2024,18978.0
188,Лефортово,1749.0,Большая кольцевая линия,03.04.2024,10849.0
189,Лефортово,1779.0,НЕКРАСОВСКАЯ,03.04.2024,9525.0
190,Лесопарковая,1500.0,БУТОВСКАЯ ЛИНИЯ,03.04.2024,3973.0
191,Лермонтовский проспект,16.0,Таганско-краснопресненская,03.04.2024,14324.0
192,Ленинский Проспект,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,8503.0
193,Кутузовская,1698.0,Московское центральное кольцо,03.04.2024,9260.0
194,Кутузовская,13.0,ФИЛЁВСКАЯ,03.04.2024,11917.0
195,Курская,12.0,Арбатско-Покровская,03.04.2024,12812.0
196,Курская,609.0,КОЛЬЦЕВАЯ,03.04.2024,10255.0
197,Кунцевская,12.0,Арбатско-Покровская,03.04.2024,15051.0
198,Кунцевская,1749.0,Большая кольцевая линия,03.04.2024,8396.0
199,Кунцевская,13.0,ФИЛЁВСКАЯ,03.04.2024,3067.0
200,Кузьминки,16.0,Таганско-краснопресненская,03.04.2024,7290.0
201,Кузнецкий мост,16.0,Таганско-краснопресненская,03.04.2024,14629.0
202,Крымская,1698.0,Московское центральное кольцо,03.04.2024,11234.0
203,Крылатское,12.0,Арбатско-Покровская,03.04.2024,2515.0
204,Кропоткинская,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,13207.0
205,Крестьянская застава,18.0,ЛЮБЛИНСКАЯ,03.04.2024,4156.0
206,Красные ворота,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,3067.0
207,Красносельская,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,7391.0
208,Краснопресненская,609.0,КОЛЬЦЕВАЯ,03.04.2024,13099.0
209,Красногвардейская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,3325.0
210,Котельники,16.0,Таганско-краснопресненская,03.04.2024,9103.0
211,Косино,1779.0,НЕКРАСОВСКАЯ,03.04.2024,15040.0
212,Коптево,1698.0,Московское центральное кольцо,03.04.2024,4420.0
213,Коньково,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,1409.0
214,Комсомольская,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,8883.0
215,Комсомольская,609.0,КОЛЬЦЕВАЯ,03.04.2024,19268.0
216,Коммунарка,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,16495.0
217,Коломенская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,6937.0
218,Кожуховская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,9447.0
219,Кленовый бульвар,1749.0,Большая кольцевая линия,03.04.2024,1641.0
220,Китай-город,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,15940.0
221,Китай-город,16.0,Таганско-краснопресненская,03.04.2024,10502.0
222,Киевская,13.0,ФИЛЁВСКАЯ,03.04.2024,3571.0
223,Киевская,12.0,Арбатско-Покровская,03.04.2024,18221.0
224,Киевская,609.0,КОЛЬЦЕВАЯ,03.04.2024,16924.0
225,Каширская,1749.0,Большая кольцевая линия,03.04.2024,15460.0
226,Каширская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,18534.0
227,Каширская,11.0,КАХОВСКАЯ,03.04.2024,15001.0
228,Каховская,11.0,КАХОВСКАЯ,03.04.2024,6072.0
229,Каховская,1749.0,Большая кольцевая линия,03.04.2024,17594.0
230,Кантемировская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,13849.0
231,Калужская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,9554.0
232,К,1749.0,Большая кольцевая линия,03.04.2024,18248.0
233,Измайловская,12.0,Арбатско-Покровская,03.04.2024,10242.0
234,Измайлово,1698.0,Московское центральное кольцо,03.04.2024,17811.0
235,Зябликово,18.0,ЛЮБЛИНСКАЯ,03.04.2024,8499.0
236,Зюзино,1749.0,Большая кольцевая линия,03.04.2024,5378.0
237,Зорге,1698.0,Московское центральное кольцо,03.04.2024,7312.0
238,ЗИЛ,1698.0,Московское центральное кольцо,03.04.2024,7852.0
239,Жулебино,16.0,Таганско-краснопресненская,03.04.2024,16288.0
240,Дубровка,18.0,ЛЮБЛИНСКАЯ,03.04.2024,16644.0
241,Дубровка,1698.0,Московское центральное кольцо,03.04.2024,14642.0
242,Достоевская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,5087.0
243,Домодедовская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,12810.0
244,Добрынинская,609.0,КОЛЬЦЕВАЯ,03.04.2024,16979.0
245,Дмитровская,17.0,Серпуховско-Тимирязевская,03.04.2024,7278.0
246,Динамо,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,10304.0
247,Деловой центр,1749.0,Большая кольцевая линия,03.04.2024,3643.0
248,Деловой центр,1691.0,Солнцевская,03.04.2024,7891.0
249,Давыдково,1749.0,Большая кольцевая линия,03.04.2024,6784.0
250,Говорово,1691.0,Солнцевская,03.04.2024,14074.0
251,Выхино,16.0,Таганско-краснопресненская,03.04.2024,17940.0
252,Воронцовская,1749.0,Большая кольцевая линия,03.04.2024,17273.0
253,Воробьёвы горы,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,18457.0
254,Волоколамская,12.0,Арбатско-Покровская,03.04.2024,7434.0
255,Волжская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,2466.0
256,Волгоградский проспект,16.0,Таганско-краснопресненская,03.04.2024,15125.0
257,Войковская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,7089.0
258,Водный Стадион,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,16794.0
259,Владыкино,17.0,Серпуховско-Тимирязевская,03.04.2024,14789.0
260,Владыкино,1698.0,Московское центральное кольцо,03.04.2024,12551.0
261,Верхние Лихоборы,18.0,ЛЮБЛИНСКАЯ,03.04.2024,16298.0
262,Верхние Котлы,1698.0,Московское центральное кольцо,03.04.2024,14070.0
263,ВДНХ,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,2798.0
264,Варшавская,11.0,КАХОВСКАЯ,03.04.2024,19342.0
265,Варшавская,1749.0,Большая кольцевая линия,03.04.2024,15986.0
266,Бутырская,14.0,КАЛИНИНСКАЯ,03.04.2024,4877.0
267,Бутырская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,14862.0
268,Бунинская аллея,1500.0,БУТОВСКАЯ ЛИНИЯ,03.04.2024,15721.0
269,Бульвар Рокоссовского,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,16671.0
270,Бульвар Рокоссовского,1698.0,Московское центральное кольцо,03.04.2024,19018.0
271,Бульвар Дмитрия Донского,17.0,Серпуховско-Тимирязевская,03.04.2024,3521.0
272,Бульвар Адмирала Ушакова,1500.0,БУТОВСКАЯ ЛИНИЯ,03.04.2024,18488.0
273,Братиславская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,9217.0
274,Ботанический сад,1698.0,Московское центральное кольцо,03.04.2024,16554.0
275,Ботанический сад,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,11293.0
276,Боровское шоссе,1691.0,Солнцевская,03.04.2024,19560.0
277,Боровицкая,17.0,Серпуховско-Тимирязевская,03.04.2024,6307.0
278,Борисово,18.0,ЛЮБЛИНСКАЯ,03.04.2024,2720.0
279,Битцевский парк,1500.0,БУТОВСКАЯ ЛИНИЯ,03.04.2024,16833.0
280,Библиотека имени Ленина,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,9324.0
281,Бибирево,17.0,Серпуховско-Тимирязевская,03.04.2024,13709.0
282,Беляево,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,16936.0
283,Белорусская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,6646.0
284,Белорусская,609.0,КОЛЬЦЕВАЯ,03.04.2024,15105.0
285,Беломорская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,7289.0
286,Белокаменная,1698.0,Московское центральное кольцо,03.04.2024,17746.0
287,Беговая,16.0,Таганско-краснопресненская,03.04.2024,14291.0
288,Бауманская,12.0,Арбатско-Покровская,03.04.2024,3088.0
289,Баррикадная,16.0,Таганско-краснопресненская,03.04.2024,19628.0
290,Балтийская,1698.0,Московское центральное кольцо,03.04.2024,17693.0
291,Багратионовская,13.0,ФИЛЁВСКАЯ,03.04.2024,17487.0
292,Бабушкинская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,5477.0
293,Аэропорт Внуково,1691.0,Солнцевская,03.04.2024,15787.0
294,Аэропорт,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,5462.0
295,Арбатская,12.0,Арбатско-Покровская,03.04.2024,9476.0
296,Арбатская,13.0,ФИЛЁВСКАЯ,03.04.2024,4883.0
297,Аннино,17.0,Серпуховско-Тимирязевская,03.04.2024,16072.0
298,Андроновка,1698.0,Московское центральное кольцо,03.04.2024,17847.0
299,Аминьевская,1749.0,Большая кольцевая линия,03.04.2024,14672.0
300,Алтуфьево,17.0,Серпуховско-Тимирязевская,03.04.2024,4026.0
301,Алма-Атинская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,11774.0
302,Алексеевская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,7282.0
303,Александровский сад,13.0,ФИЛЁВСКАЯ,03.04.2024,9506.0
304,Академическая,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,11510.0
305,Административная,609.0,КОЛЬЦЕВАЯ,03.04.2024,2687.0
306,Автозаводская,1698.0,Московское центральное кольцо,03.04.2024,10827.0
307,Автозаводская,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,15508.0
308,Авиамоторная,1749.0,Большая кольцевая линия,03.04.2024,17739.0
309,Авиамоторная,1779.0,НЕКРАСОВСКАЯ,03.04.2024,9513.0
310,Авиамоторная,14.0,КАЛИНИНСКАЯ,03.04.2024,7323.0
311,Яхромская,18.0,ЛЮБЛИНСКАЯ,02.04.2024,19663.0
312,Ясенево,15.0,КАЛУЖСКО-РИЖСКАЯ,02.04.2024,12474.0
313,Южная,17.0,Серпуховско-Тимирязевская,02.04.2024,15782.0
314,Юго-Западная,8.0,СОКОЛЬНИЧЕСКАЯ,02.04.2024,9441.0
315,Юго-Восточная,1779.0,НЕКРАСОВСКАЯ,02.04.2024,9765.0
316,Электрозаводская,12.0,Арбатско-Покровская,02.04.2024,15145.0
317,Электрозаводская,1749.0,Большая кольцевая линия,02.04.2024,17090.0
318,Электрозаводская,1779.0,НЕКРАСОВСКАЯ,02.04.2024,19498.0
319,Щукинская,16.0,Таганско-краснопресненская,02.04.2024,7789.0
320,Щёлковская,12.0,Арбатско-Покровская,02.04.2024,14251.0
321,Шоссе Энтузиастов,14.0,КАЛИНИНСКАЯ,02.04.2024,17142.0
322,Шоссе Энтузиастов,1698.0,Московское центральное кольцо,02.04.2024,6327.0
323,Шипиловская,18.0,ЛЮБЛИНСКАЯ,02.04.2024,3656.0
324,Шелепиха,1749.0,Большая кольцевая линия,02.04.2024,17951.0
325,Шелепиха,1698.0,Московское центральное кольцо,02.04.2024,12643.0
326,Шелепиха,1691.0,Солнцевская,02.04.2024,4293.0
327,Шаболовская,15.0,КАЛУЖСКО-РИЖСКАЯ,02.04.2024,13443.0
328,Чкаловская,18.0,ЛЮБЛИНСКАЯ,02.04.2024,15221.0
329,Чистые пруды,8.0,СОКОЛЬНИЧЕСКАЯ,02.04.2024,11038.0
330,Чеховская,17.0,Серпуховско-Тимирязевская,02.04.2024,13478.0
331,Чертановская,17.0,Серпуховско-Тимирязевская,02.04.2024,10569.0
332,Черкизовская,8.0,СОКОЛЬНИЧЕСКАЯ,02.04.2024,5441.0
333,ЦСКА,1749.0,Большая кольцевая линия,02.04.2024,18537.0
334,ЦСКА,1691.0,Солнцевская,02.04.2024,19882.0
335,Цветной Бульвар,17.0,Серпуховско-Тимирязевская,02.04.2024,13597.0
336,Царицыно,9.0,ЗАМОСКВОРЕЦКАЯ,02.04.2024,10845.0
337,Хорошёвская,1749.0,Большая кольцевая линия,02.04.2024,18507.0
338,Хорошёвская,1691.0,Солнцевская,02.04.2024,8585.0
339,Хорошёво,1698.0,Московское центральное кольцо,02.04.2024,15402.0
340,Ховрино,9.0,ЗАМОСКВОРЕЦКАЯ,02.04.2024,16949.0
341,Фрунзенская,8.0,СОКОЛЬНИЧЕСКАЯ,02.04.2024,5998.0
342,Фонвизинская,14.0,КАЛИНИНСКАЯ,02.04.2024,18964.0
343,Фонвизинская,18.0,ЛЮБЛИНСКАЯ,02.04.2024,7346.0
344,Фили,13.0,ФИЛЁВСКАЯ,02.04.2024,2548.0
